id	type	readings
l-2_1	graph	Et (ABCPR)| e (S)
l-2_2	graph	commandemens (BP)| comandemenz (AR)| commandemenz (C)| comandemanz (S)
l-3_1	graph	Et (ABCPR)| e (S)
l-3_2	graph	amors (ACPRS)| amor (B)
l-3_3	graph	en (BCPRS)| an (A)
l-3_4	semlex:minor:semsim	romanz (ABCSR)| rime (P)
l-3_5	graph	romans (AB)| romanz (CRS)
l-4_1	graph	espaule (ACPRS)| espaulle (B)
l-5_1	graph	Du (P)| del (ABR)| dou (CS)
l-5_2	graph	Yseut (P)| ysalt (A)| yselt (B)| iseut (C)| isout (R)| isent (S)
l-6_1	graph	hupe (ABCPR)| upe (S)
l-6_2	graph	aronde (ABCPS)| haronde (R)
l-7_1	graph	del (ABPR)| dou (CS)
l-7_2	graph	rossignol (AP)| rosignol (B)| rousignol (C)| roissignol (R)| rossinol (S)
l-8_1	graph	Un (ABCPR)| u (S)
l-8_2	semlex:minor:semsim	novel (ACPRS)| autre (B)
l-8_3	graph	recommence (P)| rancomance (A)| recommance (B)| recomence (C)| recomance (RS)
l-9_1	graph	vallet (BCPRS)| vaslet (A)
l-9_2	graph	en (BCPRS)| an (A)
l-9_3	graph	Gresse (P)| grece (ACRS)| gresce (B)
l-10_1	graph	Del (ABP)| dou (CS)| du (R)
l-10_2	graph	lignage (CRP)| linage (AB)| lignaige (S)
l-10_3	graph	Artu (ABCPR)| artru (S)
l-11_2	graph	Mais (CPR)| mes (AS)
l-11_3	graph	ains (P)| ainz (AR)| einz (CS)
l-11_4	semlex:major	de lui (ABCPR)| nulle (S)
l-11_5	flex	rien (ABCPS)| riens (R)
l-12_1	morsynt	Ores (ABCPR)| orai (S)
l-12_2	graph	Ores (BP)| orroiz (A)| orrois (C)| orrez (R)
l-13_1	graph	Dont (CPRS)| dom (A)| donc (B)
l-13_2	graph	lignage (CPRS)| linage (AB)
l-14_1	graph	preus (P)| preuz (ACS)| prous (B)| pruz (R)
l-14_2	semlex:major	haut (PC)| fier (ABRS)
l-14_3	semlex:major	parage (PC)| corage (ABRS)
l-15_1	semlex:minor:constrmorph	conquerre (ACPR)| aquerre (BS)
l-16_1	graph	Gresse (P)| grece (ACR)| gresce (BS)
l-16_2	graph	en (BCPRS)| an (A)
l-16_3	graph	Engleterre (ABCPR)| englaterre (S)
l-17_1	morsynt	Qui (ABCPS)| que (R)
l-17_2	graph	Bretaigne (ABPRS)| breteigne (C)
l-18_1	graph	trovons (ABCP)| trovoms (RS)
l-19_1	semlex:major	vos voel (ABPSR)| m'oez (C)
l-19_3	graph	voel (BP)| vuel (A)| vueil (S)| voil (R)
l-19_4	graph	et (ABCPR)| e (S)
l-19_5	graph	retraire (ABCP)| retrere (R)| ratraire (S)
l-20_1	graph	armaire (P)| aumaire (ABC)| aumere (R)| amaire (S)
l-21_1	graph	signor (PB)| seignor (ACRS)
l-21_2	graph	Piere (P)| pere (ABCRS)
l-21_3	graph	Biauvais (BP)| biauvez (A)| beauvez (C)| biavaiz (R)| biauves (S)
l-22_1	semlex:minor:gramm	li (ABPR)| cis (CS)
l-22_2	graph	cis (C)| cist (S)
l-22_3	semlex:minor:semsim	contes (ABCPR)| livres (S)
l-22_4	semlex:minor:constrmorph	estrais (ABCPR)| restraiz (S)
l-22_5	graph	estrais (BP)| estrez (AC)| estraiz (R)
l-23_2	graph	romans (P)| romanz (CRS)
l-23_3	graph	Crestiiens (P)| crestiens (CR)| crestians (S)
l-24_2	graph	anciiens (P)| anciens (CRS)
l-25_1	graph	tesmoigne (CPR)| tesmoingne (A)| tesmogne (B)| tesmaigne (S)
l-25_2	graph	estoire (ACPRS)| estore (B)
l-26_1	semlex:minor:gramm	De tant (P)| por ce (ABCRS)
l-26_3	graph	fait (PBR)| fet (AC)
l-26_7	graph	miex (P)| mialz (A)| mius (B)| meulz (CS)| mielz (R)
l-26_8	graph	croire (ABPRS)| croirre (C)
l-27_1	graph	nos (ACPRS)| nous (B)
l-27_2	graph	avons (ABCPS)| avoms (R)
l-28_1	graph	fais (PB)| fez (A)| faiz (CRS)
l-28_2	semlex:minor:gramm	des (ABCPR)| as (S)
l-28_3	graph	savons (ABCPS)| savoms (R)
l-29_1	graph	Et (ABCPR)| e (S)
l-29_2	semlex:minor:gramm	del (PABRC)| dune (S)
l-29_3	graph	del (PABR)| dou (C)
l-29_4	semlex:major	siecle (ABCPR)| cle (S)
l-29_5	graph	siecle (BCPR)| siegle (A)
l-30_1	semlex:major	Ce (ABCRS)| Or (P)
l-30_2	semlex:minor:gramm	nos (ABCRS)| vos (P)
l-30_3	morsynt	ont (ABCRS)| ert (P)
l-30_4	semlex:minor:gramm	nostre (ABCRS)| par (P)
l-30_5	morsynt	nostre (ABCR)| nos (S)
l-30_7	flex	livre (ABCPR)| livres (S)
l-30_8	graph	apris (ABCPR)| apriz (S)
l-31_1	flex	Que (CPRS)| qu' (AB)
l-31_3	graph	an (A)| en (B)
